artist,song,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Savage Garden,Crash and Burn,0.4539076266482732,1999,0.6022727272727273,0.5413173652694612,0.5847897468488507,4,0.5957110386401818,1,0.010439321444106135,0.19363167800022293,1.6243654822335024e-06,0.08021647624774504,0.1870788319606375,0.2785284289805877
Dido,Thank You,0.2838775037316851,1999,0.8181818181818182,0.7137724550898203,0.5593687109416374,1,0.5223836347465165,0,0.04240974336668117,0.3073634235427582,0.0002416243654822335,0.054119061936259774,0.7743074125574928,0.13236581096849476
Melanie C,I Turn To You,0.6444175607442892,1999,0.6022727272727273,0.4706586826347306,0.7923948734244254,1,0.7258128273544817,1,0.02066115702479339,0.0011791215564896358,0.0016954314720812181,0.34696331930246543,0.04299925125681891,0.49847512464198596
Tom Jones,Sexbomb,0.2664530939306904,1999,0.7272727272727273,0.8047904191616768,0.8697171909755322,8,0.8189544421385513,0,0.04654197477163985,0.147524213591087,1.4010152284263958e-05,0.09921828021647623,0.9561450422505081,0.41741805452423897
Gigi D'Agostino,The Riddle,0.46457728225550055,1999,0.7159090909090909,0.7317365269461078,0.8697171909755322,6,0.6741772902460718,0,0.02979556328838627,0.017706086021364354,0.0015431472081218274,0.06855081178592905,0.8416942988554925,0.4440901135037658
Donell Jones,Where I Wanna Be,0.3788967145004931,1999,0.6363636363636364,0.6407185628742516,0.36129647283126787,5,0.5624567645024212,0,0.014354066985645939,0.5327776939874227,0.0,0.296452194828623,0.44379077976254144,0.27868091651638915
Anastacia,I'm Outta Love - Radio Edit,0.35673292989820715,1999,0.7159090909090909,0.7568862275449102,0.7002436182607774,10,0.7270481272853049,0,0.07133536320139192,0.4057260142822482,0.0,0.06686710763680097,0.6534388704674297,0.39375596690357484
blink-182,All The Small Things,0.14567313132837212,1999,0.8863636363636364,0.36526946107784436,0.8919605973943437,0,0.7706295088447476,1,0.05567638103523272,0.010533813779943212,0.0,0.7101623571858088,0.6908760295218741,0.5881179060146389
Faith Hill,Breathe,0.3705980934726496,1999,0.7386363636363636,0.4790419161676647,0.46721745577798957,7,0.5685838521593043,1,0.012614180078294915,0.1772379128769746,0.0,0.2760072158749248,0.2566049844903198,0.5094409674339664
Santana,Maria Maria (feat. The Product G&B),0.40138651635744427,1999,0.7386363636363636,0.7760479041916168,0.5784344878720474,2,0.7205751556477913,1,0.22357546759460634,0.04157950648209473,0.0020406091370558377,0.015995189416716776,0.686597497058509,0.2512199002864114
Destiny's Child,"Jumpin', Jumpin'",0.3157786962543042,1999,0.7840909090909092,0.7688622754491019,0.6674081135472937,1,0.7844154560727346,1,0.07285776424532406,0.005543961520554502,0.0015939086294416243,0.038725195429945874,0.6898063964060328,0.1921210353240692
Céline Dion,That's the Way It Is,0.3458827523400495,1999,0.7159090909090909,0.6047904191616766,0.8803092892702044,9,0.7456270382448859,1,0.043932144410613314,0.15777031679311723,0.0,0.11605532170775705,0.5764252861268585,0.2189256921608148
Destiny's Child,Say My Name,0.4266057023381634,1999,0.8409090909090909,0.6994011976047905,0.6599936447410232,5,0.8394604209902164,0,0.17137886037407568,0.2796989448972767,0.0,0.153337342152736,0.7443576853139373,0.5170653442240374
Anastacia,Sick and Tired,0.2674580892694519,1999,0.625,0.5616766467065868,0.8612435123397945,0,0.7887142998319993,1,0.03066550674206177,0.009283789189295526,0.0,0.3096812988574865,0.46197454273184296,0.2640620027580355
Red Hot Chili Peppers,Otherside,0.3836037570120653,1999,0.875,0.3940119760479042,0.7839211947886876,0,0.8523075402707778,1,0.0743801652892562,0.0032180960936936463,0.0002050761421319797,0.0650631389055923,0.5079687667130175,0.41907552773947176
